"17767823","17762006","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17775719","17775131","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17639931","17638273","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17766300","17765161","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17758381","17757112","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17747067","17746174","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17764493","17761168","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17770473","17769879","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17780989","17780559","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17687904","17686263","0","0","1","16-18","1","0","0","0","0","0","0","0","0","0","0","0"
"17720191","17718824","1","0","3","19-21","1","0","3","0","4","3","0","2","0","0","0","3"
"17646347","17642185","1","0","3","19-21","1","0","2","0","2","0","0","2","1","0","1","0"
"17740964","17740183","1","0","3","19-21","1","0","2","0","3","0","4","1","5","0","2","0"
"17742037","17740183","1","0","3","19-21","1","0","3","0","2","3","1","0","5","2","0","4"
"1534241","1534162","1","0","3","19-21","1","0","5","0","0","1","0","7","2","0","4","0"
"17651806","17651627","1","0","3","19-21","1","0","2","0","6","3","0","0","2","4","2","2"
"17770683","17769879","1","0","3","19-21","1","1","0","3","0","0","2","5","1","3","0","5"
"17715935","17715248","1","0","3","19-21","1","3","0","0","4","0","2","0","5","6","5","0"
"17744680","17743666","1","0","3","19-21","1","0","1","2","0","1","4","4","2","3","4","0"
"17734648","17734209","1","0","3","19-21","1","0","2","0","0","3","2","2","2","5","0","1"
"17717567","17717504","0","1","3","19-21","1","0","3","0","0","0","0","0","0","0","0","0"
"17768469","17767833","0","1","3","19-21","2","0","0","0","0","0","0","0","0","0","0","0"
"17765741","17763529","0","1","3","19-21","0","0","6","4","2","10","3","7","0","0","0","0"
"17757756","17756937","0","1","3","19-21","0","0","0","0","0","0","0","0","0","0","0","0"
"1530916","1530748","0","1","3","19-21","1","0","0","0","0","0","0","6","0","6","0","0"
"1535618","1534402","0","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17737846","17732523","0","1","3","19-21","1","0","5","0","0","0","0","0","0","0","0","0"
"17764669","17763529","0","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17722401","17715248","0","1","3","19-21","0","0","0","0","0","0","0","0","0","0","0","0"
"17742493","17741999","0","1","3","19-21","1","0","0","0","0","0","5","0","5","0","0","0"
"17706937","17703553","1","1","3","19-21","0","3","0","0","1","1","0","0","1","0","0","0"
"17705483","17704870","1","1","3","19-21","2","10","0","0","0","0","0","0","10","0","0","10"
"17763866","17758481","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17677339","17673987","1","1","3","19-21","2","0","0","0","1","0","0","0","7","0","0","1"
"17750620","17746932","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17661187","17658418","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17775751","17775436","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17754715","17754618","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
"17669590","17668556","1","1","3","19-21","1","0","0","0","0","0","0","0","0","0","0","0"
